Resolution,Time (ms),
1170x1560,15464.6,
1140x1520,15317.5,
1110x1480,14696,
1080x1440,14151.2,
1050x1400,13700.6,
1020x1360,13192.4,
990x1320,12653.3,
960x1280,12138.3,
930x1240,11736.1,
900x1200,11392.3,
870x1160,10991.4,
840x1120,10624.1,
810x1080,10260,
780x1040,9862.29,
750x1000,9497.51,
720x960,9174.69,
690x920,8852.71,
660x880,8553.02,
630x840,8257.33,
600x800,7974.8,
570x760,7700.12,
540x720,7421.95,
510x680,7150.3,
480x640,6885.2,
450x600,6636.67,
420x560,6396.08,
390x520,6170.98,
360x480,5959.33,
330x440,5760.59,
300x400,5573.44,
270x360,5397.18,
