"++++++++++++++++++++++++++++++++++++++++++++++++++++",
"ADMM_Step",16297063,16244098,15731754,15623789,15740192,16083039,15880685,15921592,15894767,16064035,
"size of","ADMM_Step",10,
"mean of","ADMM_Step",1.59481e+07,
"std dev of","ADMM_Step",210794,

"C",4,
"size of","C",1,
"mean of","C",4,
"std dev of","C",0,

"CT",3797,3820,2169,2189,2134,2205,2172,2144,2145,2113,2128,2457,
"size of","CT",12,
"mean of","CT",2456.08,
"std dev of","CT",610.947,

"M",127880,130051,129886,130214,127254,127985,126491,127505,126681,126364,126429,159427,130581,128375,126808,127816,125997,137947,144369,133143,
"size of","M",20,
"mean of","M",131060,
"std dev of","M",7837.78,

"MT",135669,137332,133855,133631,134363,134440,134954,134250,137367,135154,
"size of","MT",10,
"mean of","MT",135102,
"std dev of","MT",1260.09,

"Psi",39241,37965,38861,38017,39313,37113,38164,38054,38127,36923,38008,37483,38216,37088,38418,37167,38620,43525,44569,37296,
"size of","Psi",20,
"mean of","Psi",38608.4,
"std dev of","Psi",1938.66,

"PsiT",15470190,15417903,14919999,14813728,14930870,15235583,15067783,15111955,15054882,15201360,
"size of","PsiT",10,
"mean of","PsiT",1.51224e+07,
"std dev of","PsiT",201966,

"U_update",102708,101637,102788,101424,102446,100316,101198,101268,99451,112517,
"size of","U_update",10,
"mean of","U_update",102575,
"std dev of","U_update",3458.24,

"V_update",15800935,15748822,15243038,15134701,15254127,15559539,15389752,15434926,15381371,15537223,
"size of","V_update",10,
"mean of","V_update",1.54484e+07,
"std dev of","V_update",205235,

"W_update",8344,8732,8442,8349,8306,14251,8428,8262,8377,10425,
"size of","W_update",10,
"mean of","W_update",9191.6,
"std dev of","W_update",1794.87,

"X_update",151392,151288,148372,147704,148019,147609,151572,147955,147104,169192,
"size of","X_update",10,
"mean of","X_update",151021,
"std dev of","X_update",6277.85,

"eta_update",74095,73988,72460,73434,72181,72758,72490,72514,83867,72621,
"size of","eta_update",10,
"mean of","eta_update",74040.8,
"std dev of","eta_update",3335.92,

"fftshift",11024,5584,7902,10356,10585,5634,7770,10453,10584,5512,7684,10325,10535,5460,7752,10272,10505,5495,7892,10222,10335,5546,8324,10306,11330,5634,7689,10390,10451,5544,7827,10367,10231,5644,7825,12169,12946,5614,8266,10427,
"size of","fftshift",40,
"mean of","fftshift",8710.27,
"std dev of","fftshift",2201.17,

"ifftshift",5484,7749,6023,5827,8109,7783,6024,5835,8147,7791,5860,5724,7966,7549,5929,5548,7836,7920,5978,5681,7751,7677,5933,5698,13352,8011,5900,5707,7942,7788,6014,5682,7916,7646,5967,5712,7972,10101,6095,5782,9505,
"size of","ifftshift",41,
"mean of","ifftshift",7046.68,
"std dev of","ifftshift",1549.1,

"init_Matrices",30276,
"size of","init_Matrices",1,
"mean of","init_Matrices",30276,
"std dev of","init_Matrices",0,

"precompute_H_fft",51220,
"size of","precompute_H_fft",1,
"mean of","precompute_H_fft",51220,
"std dev of","precompute_H_fft",0,

"precompute_PsiTPsi",44112,
"size of","precompute_PsiTPsi",1,
"mean of","precompute_PsiTPsi",44112,
"std dev of","precompute_PsiTPsi",0,

"precompute_R_divmat",76426,
"size of","precompute_R_divmat",1,
"mean of","precompute_R_divmat",76426,
"std dev of","precompute_R_divmat",0,

"precompute_X_divmat",16873,
"size of","precompute_X_divmat",1,
"mean of","precompute_X_divmat",16873,
"std dev of","precompute_X_divmat",0,

"r_calc",15663867,15608828,15106831,14999608,15118179,15422420,15255310,15298867,15244742,15391042,
"size of","r_calc",10,
"mean of","r_calc",1.5311e+07,
"std dev of","r_calc",203840,

"rho_update",13376,13181,12970,12973,12937,12940,13022,13035,16231,13040,
"size of","rho_update",10,
"mean of","rho_update",13370.5,
"std dev of","rho_update",961.941,

"roll",4545,23419,6463236,8989730,4999,21486,5233,22076,6531513,8868974,5062,21522,5215,22329,6348503,8554422,4818,21040,5132,21734,6297341,8499612,5273,21505,5108,21828,6302096,8611860,4810,20997,5138,21717,6568553,8649549,5010,21287,5106,21823,6400450,8650289,4867,21029,5181,21861,6436752,8658359,4849,21056,5195,21749,6362764,8675073,5299,23946,5407,24592,6530011,8654279,4952,21112,
"size of","roll",60,
"mean of","roll",2.52654e+06,
"std dev of","roll",3.61388e+06,

"runADMM",159704358,
"size of","runADMM",1,
"mean of","runADMM",1.59704e+08,
"std dev of","runADMM",0,

"softThresh",21715,16243,19975,16862,20115,17511,20498,17528,20219,17339,20081,17030,19764,17860,19994,17328,18669,16914,20179,19025,
"size of","softThresh",20,
"mean of","softThresh",18742.5,
"std dev of","softThresh",1546.79,

"xi_update",146200,146438,143670,145198,142162,175619,144218,143630,158345,149011,
"size of","xi_update",10,
"mean of","xi_update",149449,
"std dev of","xi_update",9744.81,

"removeColumn",
"size of","removeColumn",0,
"mean of","removeColumn",-nan,
"std dev of","removeColumn",-nan,

"removeRow",
"size of","removeRow",0,
"mean of","removeRow",-nan,
"std dev of","removeRow",-nan,

"-----------------------------------------------------",
